year,gdp_usd_bn,gdp_growth_pct,gdp_per_capita_usd,inflation_cpi_pct,unemployment_pct,remittances_usd_bn,exports_usd_bn,imports_usd_bn,trade_balance_usd_bn,forex_reserves_usd_bn,policy_rate_pct,pkr_per_usd,public_debt_gdp_pct,current_account_usd_bn,fdi_inflows_usd_bn,population_mn,literacy_rate_pct,agriculture_gdp_pct,services_gdp_pct,industry_gdp_pct,tax_revenue_gdp_pct,mobile_per_100,imf_program_active,key_events,remittances_gdp_pct,exports_gdp_pct,imports_gdp_pct,fdi_gdp_pct,gdp_growth_category,inflation_category,decade
2000,99.9,3.9,624,4.4,7.8,1.08,9.2,10.3,-1.1,1.7,13.0,51.8,82.0,-0.2,0.31,142.3,43.9,26.0,47.2,26.8,9.3,0.3,0,Post-sanctions recovery,1.08,9.21,10.31,0.31,Moderate Growth,Low,2000s
2001,101.4,2.0,614,3.1,7.8,1.46,9.8,10.3,-0.5,3.0,12.0,61.4,79.0,0.3,0.38,145.5,45.0,25.1,47.8,27.1,9.7,0.6,0,9/11 impact + debt relief,1.44,9.66,10.16,0.37,Low Growth,Low,2000s
2002,107.6,3.1,628,3.5,8.3,2.39,10.0,10.9,-0.9,4.8,7.5,59.7,75.0,3.9,0.82,148.7,46.0,24.3,48.0,27.7,10.1,1.8,0,Economic reform start,2.22,9.29,10.13,0.76,Moderate Growth,Low,2000s
2003,116.3,4.7,657,3.1,8.3,3.96,11.7,12.2,-0.5,9.5,7.5,57.8,68.0,4.1,0.53,151.9,47.0,23.5,49.1,27.4,10.5,3.3,0,Growth acceleration,3.4,10.06,10.49,0.46,Moderate Growth,Low,2000s
2004,126.7,7.4,697,7.4,7.7,3.87,14.0,15.5,-1.5,10.6,7.5,57.6,65.0,1.5,1.12,155.1,48.7,22.5,50.5,27.0,10.5,7.7,0,High growth period,3.05,11.05,12.23,0.88,High Growth,Moderate,2000s
2005,137.4,9.0,736,9.3,7.7,4.28,16.5,25.4,-8.9,12.0,9.0,59.5,60.0,-1.5,2.2,158.3,50.5,21.6,52.2,26.2,10.8,12.3,0,Record growth 8.6%,3.11,12.01,18.49,1.6,High Growth,Moderate,2000s
2006,152.4,5.8,795,7.9,6.2,5.12,18.6,30.5,-11.9,13.1,9.5,60.4,56.0,-5.0,4.27,161.6,52.0,21.3,53.0,25.7,10.9,34.5,0,Growth slowdown,3.36,12.2,20.01,2.8,Moderate Growth,Moderate,2000s
2007,168.0,6.8,855,7.6,5.2,6.14,17.5,28.6,-11.1,15.0,10.0,60.9,55.0,-6.9,5.59,164.9,53.6,21.0,53.4,25.6,10.3,55.1,1,Global commodity boom,3.65,10.42,17.02,3.33,High Growth,Moderate,2000s
2008,192.5,5.0,956,12.0,5.2,6.45,20.4,39.9,-19.5,11.4,15.0,62.6,58.0,-13.9,5.44,168.2,54.2,21.5,52.1,26.4,10.5,58.3,0,Global financial crisis,3.35,10.6,20.73,2.83,Moderate Growth,High,2000s
2009,173.6,2.6,843,20.8,5.5,7.81,19.6,31.7,-12.1,13.0,12.5,78.5,57.0,-3.9,2.34,171.6,55.5,21.8,52.0,26.2,9.1,57.7,1,IMF bailout + floods,4.5,11.29,18.26,1.35,Low Growth,Hyperinflationary,2000s
2010,177.1,1.6,843,11.7,5.6,8.91,19.3,34.7,-15.4,16.8,12.5,85.2,60.0,-3.9,2.02,175.0,57.7,21.2,53.6,25.2,9.9,61.3,0,Floods recovery,5.03,10.9,19.59,1.14,Low Growth,High,2010s
2011,222.2,3.6,1043,13.7,6.0,11.2,24.8,43.6,-18.8,18.2,14.0,85.5,58.0,0.2,1.63,178.5,58.1,20.9,54.1,25.0,10.1,65.5,1,Debt restructuring,5.04,11.16,19.62,0.73,Moderate Growth,High,2010s
2012,239.6,4.4,1097,9.7,6.0,13.19,24.0,44.9,-20.9,15.3,12.0,93.4,62.0,-2.1,0.86,182.0,58.9,21.0,53.3,25.7,10.5,72.6,1,IMF program + energy crisis,5.51,10.02,18.74,0.36,Moderate Growth,Moderate,2010s
2013,247.1,3.7,1109,7.4,6.2,13.92,24.7,45.1,-20.4,11.0,10.0,101.6,64.0,-2.5,1.33,185.6,60.1,21.5,54.0,24.5,10.2,71.2,0,Political transition,5.63,10.0,18.25,0.54,Moderate Growth,Moderate,2010s
2014,270.6,4.1,1193,8.6,6.0,15.84,25.1,47.5,-22.4,14.1,10.0,101.9,64.0,-3.1,1.63,189.2,60.9,21.0,53.2,25.8,11.0,73.2,0,CPEC launch,5.85,9.28,17.55,0.6,Moderate Growth,Moderate,2010s
2015,271.1,4.1,1168,4.5,5.9,18.72,22.0,44.9,-22.9,20.1,7.0,102.8,63.0,-2.0,0.96,192.9,58.0,21.5,53.0,25.5,12.4,72.3,0,Commodity price fall,6.91,8.12,16.56,0.35,Moderate Growth,Low,2010s
2016,282.5,5.5,1190,2.9,5.9,19.31,22.0,42.1,-20.1,23.1,5.75,104.6,67.0,-4.9,2.58,196.7,59.4,22.0,53.1,24.9,12.6,69.7,0,Growth recovery,6.84,7.79,14.9,0.91,Moderate Growth,Low,2010s
2017,305.0,5.2,1258,4.2,5.8,19.68,22.0,48.8,-26.8,21.4,5.75,105.5,67.0,-12.6,2.5,200.5,60.0,22.8,52.8,24.4,13.0,72.1,1,CPEC investment peak,6.45,7.21,16.0,0.82,Moderate Growth,Low,2010s
2018,314.6,5.8,1268,5.1,5.8,21.02,24.8,60.9,-36.1,19.4,6.5,110.6,72.0,-19.9,2.83,204.4,62.3,22.5,52.4,25.1,13.6,77.2,1,Twin deficits crisis,6.68,7.88,19.36,0.9,Moderate Growth,Moderate,2010s
2019,263.7,1.9,1038,6.7,4.5,22.24,22.5,44.6,-22.1,18.1,13.25,150.0,83.0,-4.8,2.22,208.3,62.8,22.3,52.0,25.7,12.2,76.0,0,IMF stabilization,8.43,8.53,16.91,0.84,Low Growth,Moderate,2010s
2020,263.2,-0.5,1016,8.9,4.6,23.12,22.4,44.6,-22.2,13.0,7.0,161.0,87.0,-1.9,2.56,212.2,58.0,22.7,53.0,24.3,11.4,80.0,1,COVID-19 pandemic,8.78,8.51,16.95,0.97,Recession/Negative,Moderate,2020s
2021,348.7,5.7,1315,8.9,6.3,31.1,31.8,72.7,-40.9,22.8,7.25,162.9,78.0,-13.0,1.82,224.1,59.1,22.7,52.6,24.7,11.9,82.4,1,Post-COVID rebound,8.92,9.12,20.85,0.52,Moderate Growth,Moderate,2020s
2022,376.5,6.1,1393,12.2,6.2,27.02,32.4,80.0,-47.6,13.7,16.0,204.9,73.0,-17.5,1.93,228.5,60.1,23.4,51.7,24.9,12.1,82.6,0,Record inflation + floods,7.18,8.61,21.25,0.51,High Growth,High,2020s
2023,337.9,-0.04,1237,29.2,6.5,26.1,27.7,55.3,-27.6,8.7,22.0,256.0,74.0,-2.5,1.47,232.9,62.3,22.9,50.6,26.5,12.7,84.0,1,IMF bailout + PKR crash,7.72,8.2,16.37,0.44,Recession/Negative,Hyperinflationary,2020s
2024,374.6,2.4,1353,23.4,6.4,34.6,31.0,53.2,-22.2,14.8,13.0,278.5,67.0,0.7,1.9,237.4,63.0,23.5,51.0,25.5,13.3,85.5,1,Stabilization + disinflation,9.24,8.28,14.2,0.51,Low Growth,Hyperinflationary,2020s
2025,390.0,3.0,1390,7.2,5.4,38.0,34.0,58.0,-24.0,18.5,11.0,280.0,65.0,1.0,2.2,241.5,64.0,22.9,52.0,25.1,14.5,87.0,1,Recovery + record remittances,9.74,8.72,14.87,0.56,Low Growth,Moderate,2020s
